1,2,3,4
6,6,10,true
7,7,11,true
11,11,13,true
2,2,11,true
5,5,11,true
4,4,10,true
11,11,13,true
9,9,13,true
3,3,9,true
10,10,13,true
4,4,9,true
4,4,13,true
0,0,10,true
2,2,9,true
4,4,11,true
6,6,12,true
7,7,12,true
5,5,10,true
8,8,12,true
4,4,11,true
6,6,11,true
5,5,11,true
6,6,11,true
4,4,9,true
6,6,10,true
8,8,12,true
8,8,13,false
11,11,13,true
6,6,12,true
3,3,9,true
8,8,12,true
8,8,11,true
8,8,11,true
11,11,13,true
4,4,9,true
6,6,11,true
9,9,10,true
10,10,11,true
4,4,10,true
5,5,9,true
3,3,10,true
8,8,11,true
4,4,10,true
6,6,11,true
4,4,9,true
7,7,12,true
4,4,10,true
7,7,11,true
3,3,9,true
4,4,10,true
2,2,9,true
6,6,10,true
5,5,11,true
7,7,11,true
7,7,10,true
4,4,11,true
6,6,10,true
7,7,12,true
7,7,10,true
13,13,13,true
7,7,11,true
6,6,11,true
9,9,12,true
5,5,10,true
12,12,13,true
2,2,10,true
8,8,11,true
8,8,11,true
2,2,7,true
4,4,9,true
4,4,10,true
8,8,10,true
8,8,11,true
9,9,12,true
9,9,11,true
9,9,11,true
2,2,10,true
10,10,13,true
8,8,12,true
2,2,10,true
9,9,11,true
4,4,9,true
8,8,12,true
6,6,9,true
3,3,12,true
3,3,11,true
2,2,10,true
5,5,11,true
4,4,10,true
2,2,10,true
5,5,10,true
6,6,10,true
2,2,9,true
8,8,11,true
5,5,10,true
4,4,10,true
4,4,9,true
4,4,11,true
6,6,12,true
4,4,10,true
