1,2,3,4
6,7,10,true
7,8,11,true
7,11,13,true
2,4,11,true
5,5,11,true
4,6,10,true
9,11,13,true
9,11,13,true
3,3,9,true
8,12,13,true
4,4,9,true
4,8,13,true
0,0,10,true
2,2,9,true
4,8,11,true
6,8,12,true
5,7,12,true
5,5,10,true
6,9,12,false
4,4,11,true
6,8,11,true
5,5,11,true
6,9,11,true
4,4,9,true
6,6,10,true
6,10,12,true
5,6,13,true
9,12,13,true
3,6,12,true
3,3,9,true
8,8,12,true
8,10,11,true
6,9,11,true
10,11,13,true
4,4,9,true
4,9,11,true
6,9,10,true
6,10,11,true
4,4,10,true
5,5,9,true
3,5,10,true
4,9,11,true
4,6,10,true
4,7,11,true
4,4,9,true
7,12,12,true
4,7,10,true
7,9,11,true
3,3,9,true
2,4,10,true
2,2,9,true
6,7,10,true
5,10,11,true
7,9,11,true
7,8,10,true
4,8,11,true
6,6,10,true
7,11,12,true
5,8,10,true
13,13,13,true
6,7,11,true
5,7,11,true
9,11,12,true
5,5,10,true
9,12,13,true
2,5,10,true
8,9,11,true
8,8,11,true
2,2,7,true
4,4,9,true
4,4,10,true
4,8,10,true
8,9,11,true
9,12,12,true
4,9,11,true
9,9,11,true
2,4,10,true
8,10,13,true
7,9,12,true
2,5,10,true
8,9,11,true
4,4,9,true
8,10,12,true
6,6,9,true
3,6,12,true
3,7,11,true
2,2,10,true
5,5,11,true
4,7,10,true
2,5,10,true
5,5,10,true
6,9,10,true
2,2,9,true
5,8,11,true
3,5,10,true
4,4,10,true
4,4,9,true
4,8,11,true
6,9,12,true
4,4,10,true
