1,2,3
2,2,10
2,5,12
6,8,12
9,11,13
6,11,12
9,12,13
7,9,12
3,7,12
5,10,12
9,10,13
5,8,12
4,7,11
3,3,10
5,6,11
6,6,11
11,13,14
3,6,11
7,7,14
6,9,13
8,12,13
8,8,12
4,7,11
5,5,12
7,13,13
6,10,12
7,9,12
8,12,12
5,7,12
7,8,12
4,8,12
2,2,11
4,9,11
8,12,14
6,11,14
4,4,10
7,13,12
7,13,13
9,11,12
2,2,10
6,8,12
6,9,13
4,7,10
14,17,17
4,4,11
4,7,11
5,9,12
2,2,10
4,9,13
4,8,12
4,4,12
2,5,11
8,10,13
6,10,13
4,8,12
5,5,10
5,5,11
9,11,14
8,12,14
7,10,14
4,7,14
5,9,12
8,8,12
7,10,13
6,8,11
6,10,12
6,11,12
5,9,11
7,7,13
7,7,11
9,11,13
10,12,15
3,5,12
4,7,11
5,8,11
4,4,10
0,0,11
2,5,10
2,5,10
4,7,10
2,2,10
2,4,10
7,10,13
8,13,13
10,16,16
3,6,13
6,8,14
6,9,13
5,11,12
6,11,13
7,9,12
9,12,13
4,4,11
3,7,11
2,2,9
4,5,11
2,2,10
3,7,11
4,6,11
4,10,12
6,10,13
6,6,11
3,7,12
6,11,13
6,8,12
4,4,9
8,8,12
7,13,13
2,5,11
4,4,10
0,0,9
7,9,12
0,0,10
7,9,12
2,2,9
6,7,10
8,12,13
6,6,11
3,7,11
5,7,12
4,7,10
11,15,15
4,6,14
2,6,10
2,4,12
4,6,11
3,3,11
9,9,12
4,11,13
11,13,15
4,6,13
4,8,11
2,5,11
4,5,11
4,4,10
6,12,12
5,9,13
4,4,10
8,10,12
6,6,11
0,0,9
2,4,11
8,10,13
8,10,13
2,5,11
4,5,11
10,11,12
6,6,11
11,13,15
6,7,12
7,11,14
6,9,11
5,7,11
8,9,12
6,10,13
10,13,13
9,14,14
9,14,14
5,9,12
0,0,10
4,4,9
4,7,11
5,7,10
0,0,9
4,9,11
7,11,13
10,13,14
11,14,15
6,11,12
5,11,12
0,0,9
11,14,15
8,13,14
2,2,10
9,11,13
4,4,9
9,9,12
0,0,9
8,11,13
7,11,14
4,5,10
4,4,11
2,2,10
5,12,12
7,11,14
9,12,12
8,11,12
4,4,10
10,11,14
4,9,11
4,7,12
3,7,11
6,6,11
4,8,11
4,7,11
0,0,9
2,5,12
6,8,11
5,11,13
7,9,13
6,12,12
5,5,11
5,10,13
6,6,11
8,8,13
4,4,9
2,5,10
13,14,15
5,10,11
8,8,12
10,13,14
9,9,12
4,9,12
5,5,10
8,8,12
6,6,10
7,12,13
6,8,13
5,5,11
5,9,13
0,0,10
11,13,14
6,8,12
4,4,12
2,2,9
7,13,13
10,12,14
4,8,12
4,4,11
8,12,13
4,9,11
6,11,11
4,7,12
6,10,13
10,14,15
0,0,10
4,7,11
7,13,13
10,10,15
7,10,13
5,8,13
7,11,13
6,6,12
10,14,15
8,15,15
5,5,11
2,2,10
6,11,12
7,9,12
2,2,11
6,6,12
3,7,12
4,8,11
3,6,12
7,12,13
4,4,11
8,8,13
8,8,10
2,2,10
4,9,12
7,13,13
7,11,13
4,9,12
4,8,11
5,8,12
2,4,10
4,7,12
5,10,13
6,9,12
8,13,13
6,11,12
8,13,13
2,2,9
5,9,12
4,4,13
3,6,11
5,5,10
5,7,11
6,10,12
5,7,12
6,10,13
5,7,11
2,4,10
5,6,13
6,10,12
6,9,15
9,13,14
7,10,12
6,11,12
5,10,11
3,3,10
0,0,9
5,10,13
4,5,11
2,4,10
5,10,12
7,9,14
8,13,14
8,11,12
5,9,13
2,5,10
12,13,16
6,8,14
6,11,12
6,10,12
7,13,13
3,6,11
2,5,11
6,6,12
8,8,12
8,10,11
2,4,10
3,3,11
5,10,12
8,9,12
8,13,14
8,8,12
4,10,11
2,4,11
8,10,14
9,12,13
7,11,13
6,6,11
6,6,11
5,8,12
4,9,11
4,9,12
12,13,14
6,10,13
7,11,13
7,8,12
13,15,16
10,12,14
6,12,13
5,7,12
4,7,11
9,10,14
7,11,13
4,4,10
8,9,12
2,2,11
6,6,11
4,7,10
3,3,11
7,9,12
8,10,14
7,11,14
2,4,10
3,5,10
5,10,12
7,10,12
7,10,13
10,12,17
4,6,11
2,5,10
4,6,12
0,0,10
4,6,10
3,9,11
4,7,12
11,13,14
6,8,12
9,12,13
8,8,13
4,8,12
6,6,12
5,7,11
6,11,12
7,7,12
7,12,12
5,8,14
9,10,12
8,13,14
7,10,12
6,9,12
9,13,14
7,10,12
7,9,12
6,9,12
2,2,11
2,2,10
4,9,11
6,8,12
6,10,12
5,11,12
10,11,13
4,9,12
6,8,11
9,14,14
6,7,12
3,3,10
6,8,12
8,13,14
4,7,11
6,8,12
10,13,13
3,5,11
4,4,9
5,7,11
7,8,11
6,10,12
6,10,13
0,0,9
5,7,12
8,15,14
5,10,12
2,4,10
8,12,14
5,10,11
6,6,11
4,7,11
4,4,11
4,8,12
9,13,13
3,7,12
11,13,14
2,2,11
5,11,13
7,11,13
4,6,11
5,8,12
5,7,11
6,10,13
5,10,12
4,4,10
2,2,10
4,6,12
2,4,10
6,6,12
10,12,14
6,7,13
10,13,14
6,8,14
7,11,13
5,9,13
8,12,12
11,12,14
8,11,12
6,10,12
4,7,12
6,9,12
6,9,13
3,7,11
5,5,11
0,0,9
6,10,12
2,5,10
6,8,11
2,4,11
4,6,12
0,0,9
7,10,13
9,14,14
5,11,13
5,7,12
7,7,12
6,11,12
8,11,13
3,6,11
6,10,12
2,2,9
4,9,11
9,14,14
3,7,11
3,5,10
6,10,12
12,12,14
2,5,12
6,8,12
5,10,12
7,8,12
3,8,12
9,14,14
7,8,10
4,6,10
10,14,14
6,12,13
6,9,13
9,10,13
5,10,12
0,0,10
7,9,11
4,4,10
8,10,13
7,11,13
4,9,11
3,9,12
3,8,11
4,4,11
8,10,13
2,5,10
8,10,13
8,10,12
6,10,12
6,8,10
2,5,10
4,7,12
4,7,11
5,9,12
9,12,15
2,5,10
5,8,12
5,7,11
8,13,14
6,11,13
8,13,14
9,12,16
5,7,12
5,10,12
8,8,13
7,11,14
6,6,11
7,11,14
7,12,14
2,5,10
7,13,15
2,5,10
4,8,13
7,12,12
8,12,13
5,5,12
