1,2,3
6,"(8, true)",14
4,"(4, true)",12
4,"(8, true)",11
2,"(2, true)",10
3,"(3, true)",12
5,"(8, true)",12
2,"(2, true)",10
4,"(7, true)",11
4,"(4, true)",11
7,"(7, true)",16
6,"(10, true)",12
6,"(6, true)",12
9,"(13, true)",14
2,"(2, true)",12
6,"(8, true)",13
4,"(4, true)",13
4,"(4, true)",11
4,"(6, true)",10
0,"(0, true)",9
4,"(7, true)",11
6,"(8, true)",12
2,"(2, true)",11
0,"(0, true)",11
4,"(6, true)",11
7,"(10, true)",13
5,"(5, true)",14
0,"(0, true)",9
4,"(7, true)",12
7,"(11, true)",13
6,"(10, true)",12
2,"(2, true)",11
5,"(5, true)",15
6,"(11, true)",12
7,"(10, true)",12
3,"(3, true)",11
7,"(10, true)",13
6,"(9, true)",12
2,"(2, true)",10
6,"(11, true)",12
2,"(5, true)",10
9,"(9, true)",15
6,"(6, true)",13
2,"(8, true)",10
4,"(6, true)",12
2,"(2, true)",12
6,"(6, true)",14
9,"(13, true)",14
4,"(4, true)",11
8,"(11, true)",13
6,"(8, true)",12
5,"(5, true)",14
2,"(2, true)",11
7,"(9, true)",13
5,"(5, true)",13
2,"(2, true)",11
9,"(13, true)",14
9,"(11, true)",13
4,"(4, true)",12
3,"(3, true)",11
4,"(8, true)",11
9,"(14, false)",14
2,"(5, true)",10
2,"(4, true)",12
2,"(2, true)",10
3,"(3, true)",13
6,"(8, true)",11
2,"(6, true)",11
4,"(6, true)",11
0,"(0, true)",9
4,"(9, true)",11
5,"(7, true)",12
5,"(7, true)",11
4,"(4, true)",12
3,"(3, true)",12
6,"(9, true)",12
6,"(9, true)",12
4,"(9, true)",11
8,"(13, true)",14
4,"(8, true)",11
7,"(7, true)",14
6,"(6, true)",12
8,"(11, true)",13
2,"(5, true)",10
4,"(7, true)",11
5,"(7, true)",13
6,"(9, true)",13
6,"(6, true)",12
5,"(8, true)",12
2,"(2, true)",11
5,"(7, true)",12
8,"(11, true)",13
5,"(5, true)",13
0,"(0, true)",10
9,"(11, true)",14
3,"(3, true)",11
5,"(5, true)",12
4,"(4, true)",11
5,"(7, true)",14
4,"(4, true)",12
2,"(2, true)",10
