1,2,3,4
0,0,9,true
5,7,12,true
4,4,11,true
2,4,10,true
6,8,13,true
2,4,10,true
8,8,14,true
4,6,12,true
6,8,12,true
2,2,10,true
2,2,11,true
4,4,12,true
2,2,11,true
4,6,13,true
0,0,9,true
6,10,13,true
0,0,11,true
8,8,13,true
6,9,12,true
6,9,13,true
2,4,10,true
3,3,12,true
2,5,10,true
8,8,15,true
6,6,14,true
5,8,12,true
4,4,11,true
10,12,16,true
11,11,17,true
8,10,13,true
10,10,16,true
6,8,13,true
4,6,14,true
6,9,12,true
6,8,12,true
0,0,10,true
6,6,14,true
3,3,11,true
0,0,10,true
4,4,10,true
5,5,13,true
4,7,11,true
2,2,14,true
7,11,12,true
5,5,12,true
6,9,13,true
7,9,13,true
4,7,11,true
9,12,13,true
2,2,11,true
6,8,12,true
9,12,15,true
4,4,11,true
9,13,14,true
2,2,10,true
4,7,11,true
4,6,11,true
2,2,12,true
4,9,11,true
4,6,10,true
4,4,14,true
7,10,13,true
5,7,12,true
2,4,11,true
5,10,12,true
4,4,14,true
2,5,10,true
8,11,13,true
7,10,13,true
4,4,12,true
5,10,12,true
7,10,13,true
6,7,12,true
6,8,13,true
5,7,12,true
2,2,11,true
4,4,12,true
4,7,11,true
9,12,14,true
9,11,13,true
5,5,13,true
5,5,13,true
7,10,13,true
10,12,15,true
5,7,12,true
2,2,12,true
8,12,13,true
7,9,13,true
4,4,14,true
4,4,12,true
2,2,11,true
8,10,12,true
7,12,13,false
6,11,12,true
4,6,11,true
4,4,12,true
5,10,12,true
6,8,13,true
2,2,10,true
8,11,13,true
